actual,predicted,abs_error
4.5,3.6924501320864986,0.8075498679135014
4.3,4.0,0.2999999999999998
4.4,3.7657088807098154,0.634291119290185
4.5,4.0,0.5
4.3,3.7405171890317104,0.5594828109682894
4.6,3.7242252707210017,0.8757747292789979
4.7,3.989587594684379,0.7104124053156213
4.3,3.7782671693316945,0.5217328306683053
4.5,4.273829713325912,0.22617028667408778
4.5,3.688850619150164,0.811149380849836
4.4,4.0,0.40000000000000036
4.7,4.0794061037032225,0.6205938962967776
4.6,4.135715022003754,0.4642849779962459
4.4,3.742140463824334,0.6578595361756663
4.0,4.4666345227192945,0.4666345227192945
4.6,3.7667822509984448,0.8332177490015549
4.3,3.6943047601317596,0.6056952398682403
4.5,4.068037151624926,0.4319628483750737
4.3,4.484404413548776,0.18440441354877635
4.4,4.0,0.40000000000000036
4.4,3.7887383714686855,0.6112616285313148
4.5,3.9576826569831147,0.5423173430168853
4.4,4.214242358298883,0.18575764170111775
4.1,3.7444323672064117,0.35556763279358794
4.1,3.9722433434229365,0.12775665657706314
4.5,3.672727358004555,0.827272641995445
4.4,3.681521453041854,0.7184785469581465
4.0,4.569986074120153,0.5699860741201528
4.6,4.247053961450661,0.35294603854933904
4.4,4.368892668704198,0.031107331295802787
4.6,3.978052517816119,0.6219474821838809
4.0,3.864639969107946,0.13536003089205417
4.6,3.844698046342495,0.7553019536575047
4.5,4.138056661501435,0.3619433384985653
4.8,3.8959982135894187,0.9040017864105812
5.0,3.874563563373994,1.1254364366260061
4.5,3.5729217370783415,0.9270782629216585
