Category,Recall@5,Recall@10,Recall@15,Recall@20
Alam,0.031914893617021274,0.06382978723404255,0.06382978723404255,0.07446808510638298
Budaya,0.1111111111111111,0.2222222222222222,0.28888888888888886,0.3333333333333333
Kuliner,0.0,0.0,0.0,0.0
Rekreasi,0.09803921568627451,0.1568627450980392,0.17647058823529413,0.21568627450980393
Spiritual,0.0,0.0,0.0,0.0
